State,Year,Quarter,HPI
AK,1975,1,61.65
AK,1975,2,63.20
AK,1975,3,71.19
AK,1975,4,67.23
AK,1976,1,70.36
AK,1976,2,71.58
AK,1976,3,73.82
AK,1976,4,69.54
AK,1977,1,78.74
AK,1977,2,76.48
AK,1977,3,78.37
AK,1977,4,80.13
AK,1978,1,76.53
AK,1978,2,85.72
AK,1978,3,87.04
AK,1978,4,86.67
AK,1979,1,89.12
AK,1979,2,99.07
AK,1979,3,95.88
AK,1979,4,95.06
AK,1980,1,100.00
AK,1980,2,82.36
AK,1980,3,71.07
AK,1980,4,92.40
AK,1981,1,87.07
AK,1981,2,107.54
AK,1981,3,115.15
AK,1981,4,127.41
AK,1982,1,134.57
AK,1982,2,128.95
AK,1982,3,139.25
AK,1982,4,138.27
AK,1983,1,137.27
AK,1983,2,139.04
AK,1983,3,144.73
AK,1983,4,144.41
AK,1984,1,148.29
AK,1984,2,146.46
AK,1984,3,152.70
AK,1984,4,150.69
AK,1985,1,143.38
AK,1985,2,143.52
AK,1985,3,143.85
AK,1985,4,140.28
AK,1986,1,141.05
AK,1986,2,143.36
AK,1986,3,138.76
AK,1986,4,135.49
AK,1987,1,132.13
AK,1987,2,122.97
AK,1987,3,114.80
AK,1987,4,103.71
AK,1988,1,119.75
AK,1988,2,113.96
AK,1988,3,125.24
AK,1988,4,130.64
AK,1989,1,127.02
AK,1989,2,102.92
AK,1989,3,102.92
AK,1989,4,100.79
AK,1990,1,97.38
AK,1990,2,110.82
AK,1990,3,120.47
AK,1990,4,117.78
AK,1991,1,123.00
AK,1991,2,125.85
AK,1991,3,129.74
AK,1991,4,130.01
AK,1992,1,131.38
AK,1992,2,132.83
AK,1992,3,133.61
AK,1992,4,134.37
AK,1993,1,134.02
AK,1993,2,134.54
AK,1993,3,136.85
AK,1993,4,137.58
AK,1994,1,138.78
AK,1994,2,141.95
AK,1994,3,144.05
AK,1994,4,142.79
AK,1995,1,145.41
AK,1995,2,147.72
AK,1995,3,149.19
AK,1995,4,149.36
AK,1996,1,152.11
AK,1996,2,154.51
AK,1996,3,155.42
AK,1996,4,157.14
AK,1997,1,157.08
AK,1997,2,158.09
AK,1997,3,159.33
AK,1997,4,161.28
AK,1998,1,161.13
AK,1998,2,163.81
AK,1998,3,165.20
AK,1998,4,165.13
AK,1999,1,167.04
AK,1999,2,170.60
AK,1999,3,170.13
AK,1999,4,170.38
AK,2000,1,170.29
AK,2000,2,172.21
AK,2000,3,173.35
AK,2000,4,173.95
AK,2001,1,176.96
AK,2001,2,180.47
AK,2001,3,183.17
AK,2001,4,183.44
AK,2002,1,186.38
AK,2002,2,191.58
AK,2002,3,192.99
AK,2002,4,192.58
AK,2003,1,193.75
AK,2003,2,196.76
AK,2003,3,201.22
AK,2003,4,208.94
AK,2004,1,210.41
AK,2004,2,215.53
AK,2004,3,226.61
AK,2004,4,228.93
AK,2005,1,234.56
AK,2005,2,243.75
AK,2005,3,252.19
AK,2005,4,259.84
AK,2006,1,263.95
AK,2006,2,270.56
AK,2006,3,275.57
AK,2006,4,277.36
AK,2007,1,281.13
AK,2007,2,284.14
AK,2007,3,282.66
AK,2007,4,282.20
AK,2008,1,282.05
AK,2008,2,282.41
AK,2008,3,279.25
AK,2008,4,281.73
AK,2009,1,282.17
AK,2009,2,279.33
AK,2009,3,278.29
AK,2009,4,279.60
AK,2010,1,275.42
AK,2010,2,277.78
AK,2010,3,279.28
AK,2010,4,280.12
AK,2011,1,279.99
AK,2011,2,279.37
AK,2011,3,280.07
AK,2011,4,282.36
AK,2012,1,280.16
AK,2012,2,279.84
AK,2012,3,282.10
AK,2012,4,284.95
AK,2013,1,287.90
AK,2013,2,289.25
AK,2013,3,292.24
AK,2013,4,293.14
AK,2014,1,290.44
AK,2014,2,296.95
AK,2014,3,299.94
AK,2014,4,299.61
AK,2015,1,301.98
AK,2015,2,305.53
AK,2015,3,307.27
AK,2015,4,311.00
AK,2016,1,311.96
AK,2016,2,313.85
AK,2016,3,315.44
AK,2016,4,314.13
AK,2017,1,316.88
AK,2017,2,318.15
AK,2017,3,322.47
AK,2017,4,325.22
AL,1975,1,73.13
AL,1975,2,71.79
AL,1975,3,74.34
AL,1975,4,70.80
AL,1976,1,76.94
AL,1976,2,76.62
AL,1976,3,77.31
AL,1976,4,79.62
AL,1977,1,81.68
AL,1977,2,83.79
AL,1977,3,88.28
AL,1977,4,89.49
AL,1978,1,88.52
AL,1978,2,88.91
AL,1978,3,96.91
AL,1978,4,96.37
AL,1979,1,100.03
AL,1979,2,100.54
AL,1979,3,102.17
AL,1979,4,108.90
AL,1980,1,100.00
AL,1980,2,103.74
AL,1980,3,110.28
AL,1980,4,109.48
AL,1981,1,105.84
AL,1981,2,109.44
AL,1981,3,113.42
AL,1981,4,107.07
AL,1982,1,109.46
AL,1982,2,108.15
AL,1982,3,107.91
AL,1982,4,115.18
AL,1983,1,115.12
AL,1983,2,114.60
AL,1983,3,117.45
AL,1983,4,114.54
AL,1984,1,124.10
AL,1984,2,120.56
AL,1984,3,125.08
AL,1984,4,122.02
AL,1985,1,121.95
AL,1985,2,125.14
AL,1985,3,127.93
AL,1985,4,128.96
AL,1986,1,129.93
AL,1986,2,132.41
AL,1986,3,134.18
AL,1986,4,136.39
AL,1987,1,138.58
AL,1987,2,139.47
AL,1987,3,140.16
AL,1987,4,138.77
AL,1988,1,142.66
AL,1988,2,143.72
AL,1988,3,143.16
AL,1988,4,141.96
AL,1989,1,142.13
AL,1989,2,143.84
AL,1989,3,146.19
AL,1989,4,147.22
AL,1990,1,146.08
AL,1990,2,147.31
AL,1990,3,147.96
AL,1990,4,148.09
AL,1991,1,149.28
AL,1991,2,151.66
AL,1991,3,152.38
AL,1991,4,154.88
AL,1992,1,156.17
AL,1992,2,156.46
AL,1992,3,159.38
AL,1992,4,160.63
AL,1993,1,161.81
AL,1993,2,163.55
AL,1993,3,166.43
AL,1993,4,167.84
AL,1994,1,168.91
AL,1994,2,171.08
AL,1994,3,171.64
AL,1994,4,171.89
AL,1995,1,173.49
AL,1995,2,176.88
AL,1995,3,179.63
AL,1995,4,181.03
AL,1996,1,184.30
AL,1996,2,184.24
AL,1996,3,184.67
AL,1996,4,186.83
AL,1997,1,188.72
AL,1997,2,190.17
AL,1997,3,193.01
AL,1997,4,195.58
AL,1998,1,198.82
AL,1998,2,200.51
AL,1998,3,202.58
AL,1998,4,205.07
AL,1999,1,205.72
AL,1999,2,206.49
AL,1999,3,206.97
AL,1999,4,208.49
AL,2000,1,209.32
AL,2000,2,211.05
AL,2000,3,212.73
AL,2000,4,215.47
AL,2001,1,221.71
AL,2001,2,222.68
AL,2001,3,224.26
AL,2001,4,226.82
AL,2002,1,227.21
AL,2002,2,228.39
AL,2002,3,231.80
AL,2002,4,234.44
AL,2003,1,236.79
AL,2003,2,238.92
AL,2003,3,240.59
AL,2003,4,242.08
AL,2004,1,244.44
AL,2004,2,245.97
AL,2004,3,250.43
AL,2004,4,254.25
AL,2005,1,257.57
AL,2005,2,263.73
AL,2005,3,269.20
AL,2005,4,274.61
AL,2006,1,280.08
AL,2006,2,284.81
AL,2006,3,289.46
AL,2006,4,294.94
AL,2007,1,296.89
AL,2007,2,301.12
AL,2007,3,301.66
AL,2007,4,304.08
AL,2008,1,306.08
AL,2008,2,304.82
AL,2008,3,302.56
AL,2008,4,304.21
AL,2009,1,306.40
AL,2009,2,302.95
AL,2009,3,295.70
AL,2009,4,294.70
AL,2010,1,290.58
AL,2010,2,286.37
AL,2010,3,290.10
AL,2010,4,287.82
AL,2011,1,280.22
AL,2011,2,276.21
AL,2011,3,278.71
AL,2011,4,280.80
AL,2012,1,278.01
AL,2012,2,276.35
AL,2012,3,278.10
AL,2012,4,278.73
AL,2013,1,275.86
AL,2013,2,276.56
AL,2013,3,275.96
AL,2013,4,274.56
AL,2014,1,277.03
AL,2014,2,278.24
AL,2014,3,280.95
AL,2014,4,283.11
AL,2015,1,285.60
AL,2015,2,287.11
AL,2015,3,289.37
AL,2015,4,291.08
AL,2016,1,292.53
AL,2016,2,296.36
AL,2016,3,301.27
AL,2016,4,300.92
